Clinic,Date,Total
Ophthalmic,19-Apr,179
Ophthalmic,19-May,171
Ophthalmic,19-Jun,172
Ophthalmic,19-Jul,295
Ophthalmic,19-Aug,256
Ophthalmic,19-Sep,250
Ophthalmic,19-Oct,295
Ophthalmic,19-Nov,189
Ophthalmic,19-Dec,205
Ophthalmic,20-Jan,273
Ophthalmic,20-Feb,261
Ophthalmic,20-Mar,143
Ophthalmic,20-Apr,47
Ophthalmic,20-May,87
Orthopaedic,18-Jan,248
Orthopaedic,18-Feb,192
Orthopaedic,18-Mar,171
Orthopaedic,18-Apr,217
Orthopaedic,18-May,213
Orthopaedic,18-Jun,225
Orthopaedic,18-Jul,205
Orthopaedic,18-Aug,284
Orthopaedic,18-Sep,126
Orthopaedic,18-Oct,221
Orthopaedic,18-Nov,280
Orthopaedic,18-Dec,190
Orthopaedic,19-Jan,292
Orthopaedic,19-Feb,214
Orthopaedic,19-Mar,268
Orthopaedic,19-Apr,241
Orthopaedic,19-May,326
Orthopaedic,19-Jun,253
Orthopaedic,19-Jul,250
Orthopaedic,19-Aug,203
Orthopaedic,19-Sep,188
Orthopaedic,19-Oct,291
Orthopaedic,19-Nov,268
Orthopaedic,19-Dec,149
Orthopaedic,20-Jan,263
Orthopaedic,20-Feb,205
Orthopaedic,20-Mar,67
Orthopaedic,20-Apr,23
Orthopaedic,20-May,34
POC-ACC,18-Jan,299
POC-ACC,18-Feb,272
POC-ACC,18-Mar,297
POC-ACC,18-Apr,270
POC-ACC,18-May,319
POC-ACC,18-Jun,243
POC-ACC,18-Jul,326
POC-ACC,18-Aug,305
POC-ACC,18-Sep,279
POC-ACC,18-Oct,311
POC-ACC,18-Nov,306
POC-ACC,18-Dec,307
POC-ACC,19-Jan,247
POC-ACC,19-Feb,252
POC-ACC,19-Mar,225
POC-ACC,19-Apr,256
POC-ACC,19-May,275
POC-ACC,19-Jun,206
POC-ACC,19-Jul,211
POC-ACC,19-Aug,228
POC-ACC,19-Sep,218
POC-ACC,19-Oct,258
POC-ACC,19-Nov,179
POC-ACC,19-Dec,223
POC-ACC,20-Jan,241
POC-ACC,20-Feb,208
POC-ACC,20-Mar,169
POC-ACC,20-Apr,189
POC-ACC,20-May,158
Pacemaker,18-Jan,51
Pacemaker,18-Feb,37
Pacemaker,18-Mar,27
Pacemaker,18-Apr,47
Pacemaker,18-May,41
Pacemaker,18-Jun,30
Pacemaker,18-Jul,50
Pacemaker,18-Aug,43
Pacemaker,18-Sep,33
Pacemaker,18-Oct,36
Pacemaker,18-Nov,58
Pacemaker,18-Dec,0
Pacemaker,19-Jan,53
Pacemaker,19-Feb,56
Pacemaker,19-Mar,20
Pacemaker,19-Apr,43
Pacemaker,19-May,42
Pacemaker,19-Jun,44
Pacemaker,19-Jul,39
Pacemaker,19-Aug,45
Pacemaker,19-Sep,37
Pacemaker,19-Oct,48
Pacemaker,19-Nov,34
Pacemaker,19-Dec,45
Pacemaker,20-Jan,49
Pacemaker,20-Feb,49
Pacemaker,20-Mar,13
Pacemaker,20-Apr,18
Pacemaker,20-May,19
Pain,18-Jan,13
Pain,18-Feb,10
Pain,18-Mar,10
Pain,18-Apr,14
Pain,18-May,12
Pain,18-Jun,9
Pain,18-Jul,4
Pain,18-Aug,10
Pain,18-Sep,6
Pain,18-Oct,9
Pain,18-Nov,5
Pain,18-Dec,7
Pain,19-Jan,11
Pain,19-Feb,8
Pain,19-Mar,13
Pain,19-Apr,9
Pain,19-May,10
Pain,19-Jun,7
Pain,19-Jul,9
Pain,19-Aug,13
Pain,19-Sep,8
Pain,19-Oct,12
Pain,19-Nov,11
Pain,19-Dec,10
Pain,20-Jan,12
Pain,20-Feb,13
Pain,20-Mar,0
Pain,20-Apr,0
Pain,20-May,0
Palliative Care,18-Jan,9
Palliative Care,18-Feb,8
Palliative Care,18-Mar,7
Palliative Care,18-Apr,7
Palliative Care,18-May,8
Palliative Care,18-Jun,8
Palliative Care,18-Jul,7
Palliative Care,18-Aug,5
Palliative Care,18-Sep,7
Palliative Care,18-Oct,3
Palliative Care,18-Nov,6
Palliative Care,18-Dec,8
Palliative Care,19-Jan,7
Palliative Care,19-Feb,6
Palliative Care,19-Mar,8
Palliative Care,19-Apr,7
Palliative Care,19-May,5
Palliative Care,19-Jun,6
Palliative Care,19-Jul,4
Palliative Care,19-Aug,10
Palliative Care,19-Sep,12
Palliative Care,19-Oct,15
Palliative Care,19-Nov,9
Palliative Care,19-Dec,14
Palliative Care,20-Jan,6
Palliative Care,20-Feb,17
Palliative Care,20-Mar,7
Palliative Care,20-Apr,0
Palliative Care,20-May,0
Physiotherapy,18-Jan,
Physiotherapy,18-Feb,
Physiotherapy,18-Mar,
Physiotherapy,18-Apr,
Physiotherapy,18-May,
Physiotherapy,18-Jun,
Physiotherapy,18-Jul,
Physiotherapy,18-Aug,
Physiotherapy,18-Sep,
Physiotherapy,18-Oct,
Physiotherapy,18-Nov,
Physiotherapy,18-Dec,
Physiotherapy,19-Jan,1560
Physiotherapy,19-Feb,1680
Physiotherapy,19-Mar,1699
Physiotherapy,19-Apr,1759
Physiotherapy,19-May,1667
Physiotherapy,19-Jun,1539
Physiotherapy,19-Jul,1635
Physiotherapy,19-Aug,1432
Physiotherapy,19-Sep,1341
Physiotherapy,19-Oct,1685
Physiotherapy,19-Nov,1598
Physiotherapy,19-Dec,1295
Physiotherapy,20-Jan,1756
Physiotherapy,20-Feb,1536
Physiotherapy,20-Mar,900
Physiotherapy,20-Apr,300
Physiotherapy,20-May,270
Podiatry,18-Jan,740
Podiatry,18-Feb,695
Podiatry,18-Mar,751
Podiatry,18-Apr,816
Podiatry,18-May,916
Podiatry,18-Jun,762
Podiatry,18-Jul,846
Podiatry,18-Aug,904
Podiatry,18-Sep,699
Podiatry,18-Oct,929
Podiatry,18-Nov,893
Podiatry,18-Dec,608
Podiatry,19-Jan,847
Podiatry,19-Feb,819
Podiatry,19-Mar,870
Podiatry,19-Apr,746
Podiatry,19-May,881
Podiatry,19-Jun,845
Podiatry,19-Jul,844
Podiatry,19-Aug,785
Podiatry,19-Sep,768
Podiatry,19-Oct,947
Podiatry,19-Nov,864
Podiatry,19-Dec,680
Podiatry,20-Jan,932
Podiatry,20-Feb,779
Podiatry,20-Mar,421
Podiatry,20-Apr,42
Podiatry,20-May,120
Postnatal,18-Jan,11
Postnatal,18-Feb,9
Postnatal,18-Mar,24
Postnatal,18-Apr,7
Postnatal,18-May,17
Postnatal,18-Jun,10
Postnatal,18-Jul,9
Postnatal,18-Aug,23
Postnatal,18-Sep,12
Postnatal,18-Oct,13
Postnatal,18-Nov,12
Postnatal,18-Dec,0
Postnatal,19-Jan,13
Postnatal,19-Feb,15
Postnatal,19-Mar,12
Postnatal,19-Apr,8
Postnatal,19-May,13
Postnatal,19-Jun,11
Postnatal,19-Jul,15
Postnatal,19-Aug,15
Postnatal,19-Sep,17
Postnatal,19-Oct,15
Postnatal,19-Nov,16
Postnatal,19-Dec,16
Postnatal,20-Jan,28
Postnatal,20-Feb,19
Postnatal,20-Mar,10
Postnatal,20-Apr,0
Postnatal,20-May,11
Psychiatric-Including Child Guidance,18-Jan,189
Psychiatric-Including Child Guidance,18-Feb,170
Psychiatric-Including Child Guidance,18-Mar,194
Psychiatric-Including Child Guidance,18-Apr,163
Psychiatric-Including Child Guidance,18-May,176
Psychiatric-Including Child Guidance,18-Jun,165
Psychiatric-Including Child Guidance,18-Jul,186
Psychiatric-Including Child Guidance,18-Aug,155
Psychiatric-Including Child Guidance,18-Sep,142
Psychiatric-Including Child Guidance,18-Oct,223
Psychiatric-Including Child Guidance,18-Nov,208
Psychiatric-Including Child Guidance,18-Dec,126
Psychiatric-Including Child Guidance,19-Jan,218
Psychiatric-Including Child Guidance,19-Feb,201
Psychiatric-Including Child Guidance,19-Mar,201
Psychiatric-Including Child Guidance,19-Apr,225
Psychiatric-Including Child Guidance,19-May,201
Psychiatric-Including Child Guidance,19-Jun,171
Psychiatric-Including Child Guidance,19-Jul,254
Psychiatric-Including Child Guidance,19-Aug,176
Psychiatric-Including Child Guidance,19-Sep,149
Psychiatric-Including Child Guidance,19-Oct,159
Psychiatric-Including Child Guidance,19-Nov,205
Psychiatric-Including Child Guidance,19-Dec,157
Psychiatric-Including Child Guidance,20-Jan,233
Psychiatric-Including Child Guidance,20-Feb,197
Psychiatric-Including Child Guidance,20-Mar,88
Psychiatric-Including Child Guidance,20-Apr,0
Psychiatric-Including Child Guidance,20-May,23
Respiratory Clinic,18-Jan,0
Respiratory Clinic,18-Feb,0
Respiratory Clinic,18-Mar,0
Respiratory Clinic,18-Apr,0
Respiratory Clinic,18-May,0
Respiratory Clinic,18-Jun,0
Respiratory Clinic,18-Jul,0
Respiratory Clinic,18-Aug,0
Respiratory Clinic,18-Sep,0
Respiratory Clinic,18-Oct,0
Respiratory Clinic,18-Nov,0
Respiratory Clinic,18-Dec,0
Respiratory Clinic,19-Jan,0
Respiratory Clinic,19-Feb,0
Respiratory Clinic,19-Mar,0
Respiratory Clinic,19-Apr,0
Respiratory Clinic,19-May,0
Respiratory Clinic,19-Jun,0
Respiratory Clinic,19-Jul,0
Respiratory Clinic,19-Aug,0
Respiratory Clinic,19-Sep,0
Respiratory Clinic,19-Oct,0
Respiratory Clinic,19-Nov,0
Respiratory Clinic,19-Dec,0
Respiratory Clinic,20-Jan,0
Respiratory Clinic,20-Feb,12
Respiratory Clinic,20-Mar,11
Respiratory Clinic,20-Apr,1
Respiratory Clinic,20-May,0
Rheumatology,18-Jan,24
Rheumatology,18-Feb,37
Rheumatology,18-Mar,29
Rheumatology,18-Apr,36
Rheumatology,18-May,28
Rheumatology,18-Jun,34
Rheumatology,18-Jul,26
Rheumatology,18-Aug,36
Rheumatology,18-Sep,15
Rheumatology,18-Oct,54
Rheumatology,18-Nov,23
Rheumatology,18-Dec,19
Rheumatology,19-Jan,32
Rheumatology,19-Feb,31
Rheumatology,19-Mar,35
Rheumatology,19-Apr,28
Rheumatology,19-May,33
Rheumatology,19-Jun,17
Rheumatology,19-Jul,33
Rheumatology,19-Aug,26
Rheumatology,19-Sep,18
Rheumatology,19-Oct,33
Rheumatology,19-Nov,21
Rheumatology,19-Dec,12
Rheumatology,20-Jan,20
Rheumatology,20-Feb,22
Rheumatology,20-Mar,14
Rheumatology,20-Apr,3
Rheumatology,20-May,9
Social Worker-Physical (Medical),18-Jan,
Social Worker-Physical (Medical),18-Feb,
Social Worker-Physical (Medical),18-Mar,
Social Worker-Physical (Medical),18-Apr,
Social Worker-Physical (Medical),18-May,
Social Worker-Physical (Medical),18-Jun,
Social Worker-Physical (Medical),18-Jul,
Social Worker-Physical (Medical),18-Aug,
Social Worker-Physical (Medical),18-Sep,
Social Worker-Physical (Medical),18-Oct,14
Social Worker-Physical (Medical),18-Nov,12
Social Worker-Physical (Medical),18-Dec,12
Social Worker-Physical (Medical),19-Jan,15
Social Worker-Physical (Medical),19-Feb,16
Social Worker-Physical (Medical),19-Mar,16
Social Worker-Physical (Medical),19-Apr,17
Social Worker-Physical (Medical),19-May,18
Social Worker-Physical (Medical),19-Jun,18
Social Worker-Physical (Medical),19-Jul,14
Social Worker-Physical (Medical),19-Aug,14
Social Worker-Physical (Medical),19-Sep,14
Social Worker-Physical (Medical),19-Oct,14
Social Worker-Physical (Medical),19-Nov,14
Social Worker-Physical (Medical),19-Dec,15
Social Worker-Physical (Medical),20-Jan,14
Social Worker-Physical (Medical),20-Feb,0
Social Worker-Physical (Medical),20-Mar,0
Social Worker-Physical (Medical),20-Apr,0
Social Worker-Physical (Medical),20-May,0
Social Worker-Psychiatric,18-Jan,142
Social Worker-Psychiatric,18-Feb,75
Social Worker-Psychiatric,18-Mar,68
Social Worker-Psychiatric,18-Apr,61
Social Worker-Psychiatric,18-May,59
Social Worker-Psychiatric,18-Jun,152
Social Worker-Psychiatric,18-Jul,110
Social Worker-Psychiatric,18-Aug,128
Social Worker-Psychiatric,18-Sep,131
Social Worker-Psychiatric,18-Oct,54
Social Worker-Psychiatric,18-Nov,145
Social Worker-Psychiatric,18-Dec,122
Social Worker-Psychiatric,19-Jan,132
Social Worker-Psychiatric,19-Feb,138
Social Worker-Psychiatric,19-Mar,138
Social Worker-Psychiatric,19-Apr,144
Social Worker-Psychiatric,19-May,145
Social Worker-Psychiatric,19-Jun,140
Social Worker-Psychiatric,19-Jul,138
Social Worker-Psychiatric,19-Aug,144
Social Worker-Psychiatric,19-Sep,142
Social Worker-Psychiatric,19-Oct,144
Social Worker-Psychiatric,19-Nov,145
Social Worker-Psychiatric,19-Dec,147
Social Worker-Psychiatric,20-Jan,145
Social Worker-Psychiatric,20-Feb,149
Social Worker-Psychiatric,20-Mar,149
Social Worker-Psychiatric,20-Apr,149
Social Worker-Psychiatric,20-May,153
Speech & Language Therapy,18-Jan,573
Speech & Language Therapy,18-Feb,470
Speech & Language Therapy,18-Mar,515
Speech & Language Therapy,18-Apr,496
Speech & Language Therapy,18-May,501
Speech & Language Therapy,18-Jun,320
Speech & Language Therapy,18-Jul,596
Speech & Language Therapy,18-Aug,280
Speech & Language Therapy,18-Sep,253
Speech & Language Therapy,18-Oct,96
Speech & Language Therapy,18-Nov,116
Speech & Language Therapy,18-Dec,132
Speech & Language Therapy,19-Jan,141
Speech & Language Therapy,19-Feb,143
Speech & Language Therapy,19-Mar,136
Speech & Language Therapy,19-Apr,144
Speech & Language Therapy,19-May,155
Speech & Language Therapy,19-Jun,169
Speech & Language Therapy,19-Jul,203
Speech & Language Therapy,19-Aug,211
Speech & Language Therapy,19-Sep,156
Speech & Language Therapy,19-Oct,162
Speech & Language Therapy,19-Nov,188
Speech & Language Therapy,19-Dec,153
Speech & Language Therapy,20-Jan,158
Speech & Language Therapy,20-Feb,159
Speech & Language Therapy,20-Mar,101
Speech & Language Therapy,20-Apr,0
Speech & Language Therapy,20-May,0
Surgical,18-Jan,307
Surgical,18-Feb,269
Surgical,18-Mar,351
Surgical,18-Apr,328
Surgical,18-May,320
Surgical,18-Jun,225
Surgical,18-Jul,227
Surgical,18-Aug,336
Surgical,18-Sep,265
Surgical,18-Oct,350
Surgical,18-Nov,368
Surgical,18-Dec,220
Surgical,19-Jan,333
Surgical,19-Feb,287
Surgical,19-Mar,347
Surgical,19-Apr,295
Surgical,19-May,347
Surgical,19-Jun,264
Surgical,19-Jul,288
Surgical,19-Aug,316
Surgical,19-Sep,312
Surgical,19-Oct,329
Surgical,19-Nov,362
Surgical,19-Dec,286
Surgical,20-Jan,371
Surgical,20-Feb,284
Surgical,20-Mar,154
Surgical,20-Apr,17
Surgical,20-May,24
Thyroid,18-Jan,0
Thyroid,18-Feb,0
Thyroid,18-Mar,0
Thyroid,18-Apr,0
Thyroid,18-May,0
Thyroid,18-Jun,0
Thyroid,18-Jul,0
Thyroid,18-Aug,0
Thyroid,18-Sep,0
Thyroid,18-Oct,0
Thyroid,18-Nov,0
Thyroid,18-Dec,0
Thyroid,19-Jan,0
Thyroid,19-Feb,0
Thyroid,19-Mar,0
Thyroid,19-Apr,0
Thyroid,19-May,0
Thyroid,19-Jun,0
Thyroid,19-Jul,0
Thyroid,19-Aug,0
Thyroid,19-Sep,0
Thyroid,19-Oct,13
Thyroid,19-Nov,11
Thyroid,19-Dec,0
Thyroid,20-Jan,13
Thyroid,20-Feb,10
Thyroid,20-Mar,9
Thyroid,20-Apr,0
Thyroid,20-May,0
Tissue Viability Clinic,18-Jan,264
Tissue Viability Clinic,18-Feb,285
Tissue Viability Clinic,18-Mar,333
Tissue Viability Clinic,18-Apr,346
Tissue Viability Clinic,18-May,327
Tissue Viability Clinic,18-Jun,269
Tissue Viability Clinic,18-Jul,313
Tissue Viability Clinic,18-Aug,260
Tissue Viability Clinic,18-Sep,356
Tissue Viability Clinic,18-Oct,370
Tissue Viability Clinic,18-Nov,308
Tissue Viability Clinic,18-Dec,320
Tissue Viability Clinic,19-Jan,275
Tissue Viability Clinic,19-Feb,324
Tissue Viability Clinic,19-Mar,304
Tissue Viability Clinic,19-Apr,257
Tissue Viability Clinic,19-May,279
Tissue Viability Clinic,19-Jun,367
Tissue Viability Clinic,19-Jul,368
Tissue Viability Clinic,19-Aug,368
Tissue Viability Clinic,19-Sep,398
Tissue Viability Clinic,19-Oct,407
Tissue Viability Clinic,19-Nov,391
Tissue Viability Clinic,19-Dec,475
Tissue Viability Clinic,20-Jan,431
Tissue Viability Clinic,20-Feb,237
Tissue Viability Clinic,20-Mar,295
Tissue Viability Clinic,20-Apr,135
Tissue Viability Clinic,20-May,245
Urology,18-Jan,129
Urology,18-Feb,145
Urology,18-Mar,126
Urology,18-Apr,118
Urology,18-May,180
Urology,18-Jun,112
Urology,18-Jul,127
Urology,18-Aug,137
Urology,18-Sep,107
Urology,18-Oct,139
Urology,18-Nov,71
Urology,18-Dec,57
Urology,19-Jan,157
Urology,19-Feb,114
Urology,19-Mar,139
Urology,19-Apr,135
Urology,19-May,138
Urology,19-Jun,90
Urology,19-Jul,121
Urology,19-Aug,104
Urology,19-Sep,94
Urology,19-Oct,148
Urology,19-Nov,125
Urology,19-Dec,81
Urology,20-Jan,118
Urology,20-Feb,112
Urology,20-Mar,46
Urology,20-Apr,1
Urology,20-May,5
Visual Fields,18-Jan,3
Visual Fields,18-Feb,4
Visual Fields,18-Mar,7
Visual Fields,18-Apr,3
Visual Fields,18-May,7
Visual Fields,18-Jun,4
Visual Fields,18-Jul,4
Visual Fields,18-Aug,3
Visual Fields,18-Sep,1
Visual Fields,18-Oct,2
Visual Fields,18-Nov,2
Visual Fields,18-Dec,2
Visual Fields,19-Jan,5
Visual Fields,19-Feb,4
Visual Fields,19-Mar,1
Visual Fields,19-Apr,1
Visual Fields,19-May,4
Visual Fields,19-Jun,2
Visual Fields,19-Jul,3
Visual Fields,19-Aug,4
Visual Fields,19-Sep,4
Visual Fields,19-Oct,11
Visual Fields,19-Nov,24
Visual Fields,19-Dec,0
Visual Fields,20-Jan,32
Visual Fields,20-Feb,11
Visual Fields,20-Mar,7
Visual Fields,20-Apr,0
Visual Fields,20-May,0
